system,code,name,description
ICD11,K59.9,Functional disorder of intestine,Non-specific intestinal functional disorder
ICD11,R19.7,Unspecified digestive disorder,Disorder of digestive system not otherwise specified
ICD11,K52.9,Non-infective gastroenteritis,Unspecified non-infective inflammation of intestine
ICD11,R10.4,Abdominal pain unspecified,Abdominal pain not otherwise specified
ICD11,I84.9,Hemorrhoids unspecified,Swelling of anal veins not specified
ICD11,N39.9,Urinary disorder unspecified,Unspecified disorder of urinary system
ICD11,R50.9,Fever unspecified,Fever of unknown origin
ICD11,R05.9,Cough unspecified,Cough not otherwise specified
ICD11,J45.9,Asthma unspecified,Asthma without further specification
ICD11,R58,Bleeding unspecified,Hemorrhage not classified elsewhere
